name,每股收益,同比%,当季环比%,每股净资产,同比%,当季环比%,主营收入,同比%,当季环比%,净利润,同比%,当季环比%,销售毛利率,同比%,当季环比%,总股本(万股),流通股本(万股),每股资本公积金,每股未分配利润,净资产收益率,price,
600000,0.51,-20.31,-,20.58,4.63,2.75,480.79亿,-3.85,6.98,158.31亿,-18.35,47.83,0,-,69.97,2935217.56,2935217.56,2.7856,7.4661,2.22%,6.94,2.965417867
600004,0.02,166.67,361.11,7.28,-5.47,-,13.59亿,9.71,104.93,4472.62万,154.08,110.07,0,-,115.64,236671.83,236671.83,4.184,1.7144,0.26%,10.54,0.690702087
600006,0.05,-19.39,-,4.15,1.86,-,26.37亿,-26.49,-14,9563.31万,-19.41,-48.87,0,-,-18.39,200000,200000,0.309,2.3618,1.15%,6.72,0.617559524
600007,0.32,18.52,-,9.4,6.33,-,9.58亿,6.12,13.28,3.20亿,19.42,29.44,0,-,19.17,100728.25,100728.25,1.8594,6.0371,3.38%,20.63,0.455647116
600008,0.04,3.27,-,3.95,7.02,-,43.42亿,-8.06,-37.6,3.24亿,3.26,430.05,0,-,29.13,734059.07,734059.07,0.4942,0.8274,1.12%,2.77,1.42599278
600009,-0.04,-,390.48,15.88,13.33,-,21.54亿,156.21,59.46,-9934.65万,-,-,0,-,-,248848.13,192695.84,6.6321,7.6399,-0.25%,36.9,0.430352304
600010,0.01,-17.81,7266.67,1.16,-5.11,-,171.50亿,-15,22.79,2.91亿,-12.15,1705.68,0,-,-32.71,4540494.22,3149712.12,0.0037,0.1284,0.55%,1.61,0.720496894
600011,0.31,219.23,-70.42,8.39,29.01,-,1260.32亿,7.84,-6.9,63.08亿,309.67,80.33,0,-,42.78,1569809.34,1099770.99,1.0581,0.7382,4.79%,7.67,1.093872229
600012,0.28,13.15,-,7.47,5,-,11.45亿,18.51,-6.24,4.59亿,13.15,69.09,0,-,63.59,165861,116560,0.0002,6.2316,3.71%,10.35,0.72173913
600015,0.31,3.33,-,16.69,5.9,1.95,231.17亿,-3.68,10.9,58.54亿,4.05,-26.45,0,-,-34.32,1591492.85,1282268.67,3.8164,7.6194,1.92%,5.71,2.922942207
600016,0.33,6.45,-,11.89,4.85,3.12,367.73亿,0.38,8.54,142.32亿,3.7,854.53,0,-,961.59,4378241.85,3546212.32,1.3281,6.2125,2.31%,3.8,3.128947368
600017,0.07,-12.5,-,4.49,3.66,-,19.24亿,4.98,-3.29,2.20亿,-11.25,1318.82,0,-,84.28,307565.39,307565.39,0.994,2.225,1.60%,2.86,1.56993007
600018,0.15,-35.39,-,4.97,9.97,-,76.49亿,-38.38,-4.92,35.51亿,-35.37,111.97,0,-,94.97,2328414.48,2317367.47,0.4843,3.0629,3.07%,5.09,0.976424361
600019,0.08,-52.94,-,8.83,0.94,-,786.02亿,-8.58,-12.2,18.45亿,-50.56,-32.25,0,-,233.85,2226220.02,2185791.9,2.2546,3.8563,0.94%,6.31,1.399366086
600020,0.16,216.12,212.48,6.23,12.44,-,12.04亿,27.73,18.12,3.86亿,173.3,246.4,0,-,512.78,224737.18,224737.18,0.5972,2.5138,2.76%,3.57,1.745098039
600021,0.1,295.45,60.44,7.67,13.35,-,103.42亿,23.39,-8.74,3.35亿,230.64,236.56,0,-,6.74,281674.36,261716.42,2.7219,1.7886,1.55%,8.73,0.878579611
600022,-0.03,-,-,2.01,-2.14,-,247.50亿,2.65,-3.67,-3.09亿,-,-,0,-,-31.62,1069884.96,1069884.96,0.7593,0.1633,-1.44%,1.42,1.415492958
600023,0.08,60,229.41,4.68,-1.05,-,176.49亿,-3.64,-8.6,10.11亿,61.19,144.33,0,-,130.2,1340873.27,1340873.27,1.825,1.2796,1.61%,4.51,1.037694013
600025,0.04,0,-,3.8,5.36,-,37.32亿,-5.31,-14.25,8.03亿,8.25,-4.01,0,-,22.7,1800000,1800000,1.0465,0.8227,1.17%,7.82,0.485933504
600026,0.23,4233.96,-,6.85,14.12,-,56.31亿,61.91,-10.06,10.96亿,4278.66,34.06,0,-,-9.27,477077.64,347477.64,2.5113,2.5516,3.35%,14.59,0.469499657
600027,0.09,132.5,170.33,6.45,2.13,-,319.78亿,10.98,16.68,11.34亿,83.9,150.96,0,-,158.7,1022756.11,851032.75,1.3175,0.9109,1.78%,4.98,1.295180723
600028,0.17,-10.16,-,6.73,2.59,-100,7913.31亿,2.59,-8.5,201.02亿,-11.07,108.48,0,-,41.76,11989640.76,9511547.1,0.9918,2.8851,2.49%,5.58,1.20609319
600029,-0.1,-,306.9,2.16,-41.98,-,340.55亿,58.61,101.53,-18.98亿,-,-,0,-,103.48,1812090.6,1267333.73,2.9124,-1.9081,-4.85%,6.14,0.351791531
600030,0.36,0,-,17.44,5.79,-,153.48亿,0.87,0.4,54.17亿,3.6,14.05,0,-,13.93,1482054.68,1136668.33,6.1357,6.1011,2.10%,21.67,0.804799262
600031,0.18,-5.25,-,7.83,1.89,-,177.88亿,-11.4,-17.1,15.12亿,-4.92,123.66,0,-,1.73,848660.21,846421.58,0.6226,5.969,2.28%,14.17,0.552575865
600032,0.06,-40.79,-,4.21,7.9,-,10.46亿,-0.31,128.75,1.21亿,-40.79,-,0,-,-,240467.53,20800,2.0192,1.1188,1.38%,8.25,0.51030303
600033,0.08,3.05,-,4.01,2.27,-,7.12亿,4.02,15.26,2.32亿,3.01,114.22,0,-,43.5,274440,274440,0.6048,1.974,2.11%,3.28,1.222560976
600035,0.22,46.67,-,4.87,8.3,-,7.64亿,0.16,7.28,3.54亿,43.04,302.73,0,-,43.88,161011.59,161011.59,0.6875,2.2727,4.52%,3.9,1.248717949
600036,1.54,7.69,-,34.13,12.31,4.34,906.36亿,-1.47,13.37,388.39亿,7.82,24.92,0,-,15.6,2521984.56,2062894.44,2.5946,21.0783,3.96%,30.72,1.111002604
600037,-0.04,-,-,9.37,0.89,-,5.25亿,0.96,-34.47,-5844.13万,-,-,0,-,44.5,139177.79,139177.79,4.7102,2.9453,-0.45%,7.81,1.199743918
600038,0.02,26.7,-,16.57,1.19,-,32.27亿,98.52,-63.58,1429.33万,26.88,-95.79,0,-,-42.04,58947.67,58947.67,7.501,6.8565,0.15%,37.84,0.437896406
600039,0.44,33.33,-,7.18,18.88,-,308.93亿,68.95,-54.89,27.33亿,73.84,-47.39,0,-,2.32,871557.82,663929.85,1.339,4.3897,6.12%,7.72,0.930051813
600048,0.23,9.52,-,16.55,0.06,-,399.56亿,19.14,-67.94,27.21亿,7.52,-48.2,0,-,42.41,1197044.34,1197044.34,1.4774,12.885,1.37%,10.93,1.514181153
600050,0.07,5.97,-,4.93,0.94,-,972.22亿,9.21,6.88,22.66亿,11.56,384.63,0,-,24.94,3180399.23,3096565.23,2.575,1.4981,1.45%,4.45,1.107865169
600051,0.04,300,-,10.51,4.35,-,7.49亿,94.07,7.1,1121.61万,301.48,-65.84,0,-,-62.52,31088,31088,0.4618,7.8739,0.34%,7.17,1.465829847
600052,-0.02,-,183.33,3.44,-12.35,-,5998.55万,133.94,-50.23,-1338.28万,-,-,0,-,-69.95,84419.47,84419.47,0.0264,2.1127,-0.46%,4.6,0.747826087
600053,-0.05,-,-,6.68,4.06,-,1218.46万,-86.7,-83.61,-2311.74万,-,-,0,-,-1.1,43354.08,43354.08,0.4299,4.7165,-0.80%,12.35,0.540890688
600054,0.09,177.09,378.82,5.69,-1.33,-,3.38亿,161.26,69.36,6457.56万,177.15,191.04,0,-,550.84,72937.94,51330,0.5036,3.6611,1.56%,11.28,0.504432624
600055,0.04,-6.52,-,6.59,3.78,-,2.55亿,21.12,-34.35,3043.80万,23.57,-57.87,0,-,-5.9,70306.11,54081.62,3.9472,1.3524,0.66%,17.84,0.369394619
600056,0.18,-21.94,-,7.41,-24.62,-,125.31亿,47.08,17.38,2.69亿,9.27,966.76,0,-,-19.83,149587.97,149535.15,1.3723,4.6341,2.43%,11.86,0.624789207
600057,0.23,15,-,7.67,-6.09,-,1291.50亿,13.43,-11.78,5.46亿,17.16,17.89,0,-,27.22,226820.6,215129.68,2.716,2.9156,3.15%,6.5,1.18
600058,0.03,-75,-,5.45,-19.65,-,172.92亿,13.34,-17.39,3247.22万,-75.1,309.97,0,-,-19.65,107191.07,107191.07,3.9099,-1.2918,0.56%,9.3,0.586021505
600059,0.06,-25,-,6.09,2.24,-,5.12亿,-9.17,2.73,5886.26万,-14.71,-17.57,0,-,5.62,91154.24,91154.24,2.9929,1.7646,1.06%,9.54,0.63836478
600060,0.48,107.42,-,13.91,10.67,-,114.83亿,12.75,-13.18,6.21亿,107.9,8.51,0,-,-6.01,130765.22,128908.12,1.9325,10.0074,3.41%,24.05,0.578378378
