name,price
600000,6.89
600004,10.63
600006,6.5
600007,20.31
600008,2.75
600009,37.27
600010,1.61
600011,7.67
600012,10.13
600015,5.63
600016,3.79
600017,2.83
600018,4.99
600019,6.17
600020,3.47
600021,8.76
600022,1.42
600023,4.53
600025,7.8
600026,14.49
600027,4.94
600028,5.51
600029,6.05
600030,21.86
600031,14.24
600032,8.33
600033,3.2
600035,3.85
600036,30.99
600037,7.87
600038,37.71
600039,7.73
600048,10.8
600050,4.45
600051,7.09
600052,4.54
600053,12.46
600054,11.29
600055,17.87
600056,11.83
600057,6.47
600058,9.24
600059,9.62
600060,23.55
600061,6.78
600062,16.51
600063,4.67
600064,6.1
600066,13.58
600067,2.57
600070,2.71
600071,21.6
600072,17.64
600073,6.99
600075,4.57
600076,2.61
600078,7.41
600079,23.28
600080,7.55
600081,11.93
600082,3.29
600083,7.2
600084,7.86
600085,50.95
600088,12.48
600089,13.94
600094,3.15
600095,8.06
600096,16.78
600097,9.86
600098,5.49
600099,9.66
600100,8.51
600101,8.21
600103,2.44
600104,14.83
600105,5.96
600106,5.28
600107,5.43
600108,3.0
600109,9.15
600110,5.99
600111,21.08
600112,3.02
600113,7.55
600114,13.11
600115,4.26
600116,7.94
600117,3.14
600118,27.55
600119,6.99
600120,3.65
600121,4.18
600123,9.07
600125,5.97
600126,4.23
600127,7.55
600128,8.41
600129,42.7
600130,5.63
600131,13.62
600132,73.17
600133,8.26
600135,7.12
600136,2.37
600137,18.16
600138,10.56
600141,19.64
600143,7.69
600148,16.52
600149,5.32
600150,25.95
600151,6.83
600152,7.04
600153,9.65
600155,9.41
600156,4.64
600157,1.36
600158,8.4
600159,3.15
600160,15.04
600161,29.37
600162,1.85
600163,4.57
600165,3.54
600166,3.01
600167,5.9
600168,5.97
600169,2.35
600170,2.56
600171,16.09
600172,3.54
600173,5.01
600176,11.73
600177,6.73
600178,7.01
600179,2.59
600180,5.83
600182,14.91
600183,17.47
600184,12.22
600185,7.17
600186,7.7
600187,2.7
600188,19.29
600189,10.16
600190,3.01
600191,6.46
600192,5.7
600193,5.18
600195,11.02
600196,28.39
600197,22.18
600198,6.97
600199,22.84
600200,9.09
600201,9.42
600202,5.65
600203,8.56
600206,12.66
600207,4.77
600208,2.36
600210,4.88
600211,49.8
600212,7.31
600213,9.38
600215,8.88
600216,10.91
600217,4.65
600218,8.47
600219,3.06
600220,2.1
600221,1.45
600222,6.21
600223,10.01
600225,4.19
600226,2.65
600227,2.88
600228,7.87
600229,7.42
600230,14.08
600231,2.26
600232,5.78
600233,13.73
600234,7.41
600235,5.83
600236,5.58
600237,7.47
600238,10.05
600239,2.81
600241,7.75
600243,4.53
600246,5.87
600248,4.2
600249,5.5
600250,6.66
600251,9.15
600252,2.66
600255,2.03
600256,7.5
600257,6.6
600258,16.44
600259,36.48
600261,3.55
600262,17.71
600265,17.5
600266,5.92
600267,10.12
600268,6.81
600269,4.18
600271,11.19
600272,12.12
600273,8.37
600276,47.51
600277,2.71
600278,6.9
600279,4.15
600280,3.52
600281,4.33
600282,3.76
600283,13.31
600284,6.39
600285,15.98
600287,5.44
600288,10.46
600289,2.72
600290,1.23
600292,6.08
600293,3.17
600295,9.27
600297,1.91
600298,35.53
600299,7.76
600300,3.19
600301,13.54
600302,5.5
600303,4.63
600305,9.85
600306,10.61
600307,1.56
600308,3.55
600309,87.09
600310,3.58
600312,10.66
600313,7.78
600315,23.13
600316,20.07
600318,6.58
600319,5.17
600320,3.4
600321,1.68
600322,2.47
600323,17.97
600325,8.04
600326,5.29
600327,4.78
600328,7.93
600329,29.43
600330,8.79
600331,4.63
600332,29.55
600333,5.18
600335,8.48
600336,5.47
600337,2.53
600338,13.55
600339,3.34
600340,1.85
600343,10.29
600345,19.63
600346,14.68
600348,7.99
600350,6.57
600351,7.39
600352,8.84
600353,8.22
600354,6.01
600355,5.06
600356,7.79
600358,4.71
600359,7.43
600360,7.12
600361,5.07
600362,18.09
600363,35.48
600365,4.15
600366,7.08
600367,12.93
600368,3.86
600369,4.04
600370,2.53
600371,10.85
600372,13.6
600373,12.03
600375,5.99
600376,3.66
600377,9.85
600378,31.04
600379,9.72
600380,11.9
600381,7.84
600382,4.62
600383,5.02
600386,3.93
600387,5.65
600388,14.92
600389,18.79
600390,5.02
600391,19.21
600392,10.69
600395,6.06
600396,2.54
600397,2.9
600398,7.43
600399,9.09
600400,2.94
600403,3.87
600405,5.33
600406,22.58
600408,2.45
600409,5.77
600410,7.58
600415,7.5
600416,14.49
600418,18.54
600419,12.34
600420,10.11
600421,9.9
600422,20.28
600423,3.46
600425,3.88
600426,30.97
600428,5.1
600429,4.72
600433,3.55
600435,11.15
600436,251.42
600438,26.32
600439,2.76
600444,13.82
600446,11.84
600448,3.19
600449,17.94
600452,12.28
600455,23.33
600456,33.15
600458,9.95
600459,14.5
600460,25.18
600461,8.54
600462,2.04
600463,8.98
600467,2.38
600468,5.67
600469,5.82
600470,5.19
600475,9.59
600476,16.78
600477,3.43
600478,5.33
600479,11.08
600480,8.57
600481,9.38
600482,17.51
600483,8.7
600486,64.91
600487,13.13
600488,5.17
600489,10.54
600490,2.99
600491,4.32
600493,6.53
600495,3.89
600496,3.25
600497,5.11
600498,18.84
600499,10.73
600500,4.93
600501,13.96
600502,4.8
600503,2.68
600505,7.8
600506,10.5
600507,4.84
600508,13.34
600509,6.34
600510,5.7
600511,28.34
600512,2.59
600513,10.1
600515,3.78
600516,5.83
600517,4.87
600518,1.87
600519,1811.24
600520,23.25
600521,15.76
600522,13.99
600523,13.4
600525,5.22
600526,4.78
600527,1.97
600528,7.86
600529,27.16
600530,2.24
600531,6.23
600533,2.97
600535,14.68
600536,34.28
600537,5.2
600538,4.44
600539,6.92
600540,5.05
600543,5.69
600545,2.77
600546,16.05
600547,23.47
600548,9.68
600549,17.06
600550,4.57
600551,10.87
600552,11.85
600556,6.12
600557,16.72
600558,3.87
600559,23.49
600560,13.31
600561,6.1
600562,14.34
600563,100.49
600565,1.54
600566,26.71
600567,2.16
600568,1.75
600569,2.26
600570,31.3
600571,9.57
600572,5.15
600573,10.5
600575,2.54
600576,7.39
600577,4.14
600578,2.97
600579,7.18
600580,11.68
600581,4.0
600582,5.15
600583,6.23
600584,31.28
600585,23.77
600586,6.87
600587,23.83
600588,16.55
600589,4.19
600590,6.53
600592,10.78
600593,16.47
600594,5.74
600595,3.49
600596,9.77
600597,9.41
600598,12.6
600599,14.01
600600,80.01
600601,3.1
600602,12.22
600603,6.84
600604,4.56
600605,19.51
600606,2.51
600608,4.15
600609,4.82
600610,7.52
600611,3.0
600612,60.08
600613,7.92
600615,10.11
600616,6.33
600617,4.15
600618,8.88
600619,7.19
600620,10.09
600621,12.34
600622,2.68
600623,6.73
600624,5.88
600626,3.61
600628,7.16
600629,5.44
600630,9.17
600633,11.75
600635,3.04
600636,9.7
600637,7.51
600638,5.6
600639,11.12
600640,10.32
600641,16.83
600642,5.87
600643,5.21
600644,6.82
600645,20.8
600647,12.05
600648,10.59
600649,4.01
600650,9.3
600651,3.48
600653,1.9
600654,2.28
600655,6.46
600657,4.09
600658,4.45
600660,37.38
600661,8.85
600662,5.11
600663,9.21
600664,3.58
600665,3.86
600666,2.23
600667,6.48
600668,11.15
600671,10.55
600673,6.82
600674,14.71
600675,3.33
600676,4.27
600678,5.43
600679,8.66
600681,4.24
600682,7.69
600683,5.36
600684,3.69
600685,22.53
600686,8.27
600688,3.0
600689,10.49
600690,22.61
600691,3.25
600692,5.89
600693,3.88
600694,16.9
600696,23.38
600697,12.34
600698,4.75
600699,19.18
600702,114.9
600703,15.03
600704,4.58
600705,3.33
600706,14.08
600707,5.94
600708,2.18
600710,7.32
600711,4.53
600712,4.26
600713,5.04
600714,9.15
600715,2.14
600716,3.58
600717,4.23
600718,9.62
600719,7.34
600720,10.66
600721,8.43
600722,4.73
600724,3.68
600725,2.71
600726,2.2
600727,6.29
600728,5.73
600729,27.63
600730,5.53
600731,6.48
600732,17.72
600733,6.8
600734,3.72
600735,6.49
600736,4.77
600737,8.57
600738,5.37
600739,12.31
600740,5.02
600741,17.71
600742,9.22
600743,1.64
600744,3.4
600745,50.05
600746,7.32
600748,3.65
600749,11.7
600750,19.8
600751,2.85
600753,10.12
600754,32.58
600755,6.79
600756,13.99
600757,7.69
600758,3.91
600759,2.65
600760,41.28
600761,17.33
600763,89.88
600764,21.48
600765,21.11
600766,11.84
600768,10.8
600769,9.19
600770,4.87
600771,29.46
600773,11.54
600774,9.92
600775,8.9
600776,13.26
600777,2.58
600778,6.14
600779,60.08
600780,9.87
600782,3.98
600783,11.55
600784,6.05
600785,13.6
600787,5.12
600789,6.96
600790,3.93
600791,4.41
600792,4.12
600793,11.63
600794,3.56
600795,3.71
600796,5.42
600797,6.55
600798,3.61
600800,3.61
600801,14.44
600802,5.21
600803,17.01
600804,4.38
600805,4.4
600807,3.07
600808,2.71
600809,249.58
600810,7.89
600811,2.3
600812,5.96
600814,7.07
600815,2.64
600816,3.42
600817,8.84
600818,13.31
600819,4.89
600820,5.54
600821,6.68
600822,10.68
600823,1.27
600824,3.71
600825,4.32
600826,9.38
600827,10.26
600828,3.72
600829,7.63
600830,6.28
600831,5.56
600833,11.43
600834,8.04
600835,12.7
600836,3.96
600837,9.8
600838,7.45
600839,5.51
600841,6.13
600843,5.76
600844,2.84
600845,41.78
600846,9.73
600847,11.57
600848,10.79
600850,23.65
600851,6.86
600853,4.29
600854,5.0
600855,10.98
600857,9.14
600858,5.47
600859,17.67
600860,11.5
600861,22.01
600862,23.08
600863,3.56
600864,5.89
600865,8.23
600866,5.36
600867,11.53
600868,2.62
600869,4.51
600871,1.91
600872,34.24
600873,9.41
600874,5.71
600875,15.25
600876,13.76
600877,14.16
600879,8.16
600880,5.24
600881,2.12
600882,17.76
600883,8.22
600884,13.92
600885,28.08
600886,12.33
600887,27.6
600888,7.5
600889,5.27
600892,5.36
600893,35.17
600894,7.36
600895,22.3
600897,12.57
600898,3.17
600900,22.71
600901,4.65
600903,8.23
600905,4.78
600906,7.72
600908,5.05
600909,4.78
600916,10.46
600917,6.74
600918,7.25
600919,6.86
600925,5.54
600926,10.7
600927,15.82
600928,3.46
600929,6.45
600933,21.87
600935,3.51
600936,3.82
